w_band_range,strategy,rank_change,performance_change
5.0-10.0,BetHedging_0.5,3 -> 7,0.4043 -> 0.4080
5.0-10.0,Responsive_HG,1 -> 5,0.4290 -> 0.4136
5.0-10.0,Responsive_LL,2 -> 1,0.4183 -> 0.4325
10.0-20.0,BetHedging_0.5,7 -> 2,0.4080 -> 0.4226
10.0-20.0,Responsive_HG,5 -> 1,0.4136 -> 0.4230
10.0-20.0,Responsive_LL,1 -> 3,0.4325 -> 0.4211
20.0-40.0,BetHedging_0.5,2 -> 6,0.4226 -> 0.4123
20.0-40.0,Responsive_HG,1 -> 8,0.4230 -> 0.4043
20.0-40.0,Responsive_LL,3 -> 5,0.4211 -> 0.4138
40.0-80.0,BetHedging_0.5,6 -> 2,0.4123 -> 0.4044
40.0-80.0,Responsive_HG,8 -> 3,0.4043 -> 0.3933
40.0-80.0,Responsive_LL,5 -> 1,0.4138 -> 0.4054
